0,1,2,3,4,5,6,7,8,9,10
citrus fruit,frozen meals,,,,,,,,,
brown bread,rolls/buns,cat food,pastry,,,,,,,
dessert,whole milk,waffles,,,,,,,,
other vegetables,soda,frozen potato products,,,,,,,,
frozen vegetables,bottled beer,,,,,,,,,
frankfurter,ice cream,soda,,,,,,,,
sausage,frozen meals,,,,,,,,,
canned beer,honey,,,,,,,,,
butter,whole milk,,,,,,,,,
soda,butter milk,citrus fruit,other vegetables,,,,,,,
tropical fruit,rolls/buns,,,,,,,,,
frozen dessert,hard cheese,,,,,,,,,
yogurt,detergent,,,,,,,,,
other vegetables,dishes,,,,,,,,,
citrus fruit,other vegetables,,,,,,,,,
whole milk,rolls/buns,cat food,shopping bags,,,,,,,
coffee,coffee,,,,,,,,,
root vegetables,margarine,rolls/buns,,,,,,,,
pork,herbs,,,,,,,,,
sausage,whole milk,,,,,,,,,
root vegetables,bottled water,napkins,shopping bags,rice,,,,,,
popcorn,cat food,,,,,,,,,
tropical fruit,root vegetables,,,,,,,,,
chicken,red/blush wine,,,,,,,,,
root vegetables,margarine,,,,,,,,,
frozen meals,other vegetables,,,,,,,,,
grapes,other vegetables,,,,,,,,,
ham,spread cheese,,,,,,,,,
whipped/sour cream,ice cream,,,,,,,,,
white bread,coffee,,,,,,,,,
tropical fruit,skin care,,,,,,,,,
packaged fruit/vegetables,pet care,,,,,,,,,
sauces,shopping bags,,,,,,,,,
root vegetables,spread cheese,,,,,,,,,
misc. beverages,whipped/sour cream,,,,,,,,,
rolls/buns,domestic eggs,,,,,,,,,
citrus fruit,frozen meals,,,,,,,,,
beef,mayonnaise,,,,,,,,,
sausage,root vegetables,canned beer,rolls/buns,,,,,,,
bottled water,roll products ,butter,coffee,rum,,,,,,
onions,sliced cheese,,,,,,,,,
frankfurter,margarine,,,,,,,,,
sugar,bottled water,cream cheese ,,,,,,,,
frozen meals,chicken,whipped/sour cream,whole milk,bottled beer,,,,,,
soft cheese,chewing gum,cling film/bags,,,,,,,,
pork,soft cheese,rolls/buns,butter milk,butter,,,,,,
specialty bar,tropical fruit,,,,,,,,,
margarine,other vegetables,,,,,,,,,
pip fruit,rolls/buns,specialty chocolate,,,,,,,,
brown bread,sugar,beef,citrus fruit,yogurt,,,,,,
pip fruit,brown bread,,,,,,,,,
other vegetables,rolls/buns,waffles,,,,,,,,
dessert,frozen vegetables,,,,,,,,,
whole milk,bottled water,,,,,,,,,
soda,UHT-milk,,,,,,,,,
shopping bags,chocolate,,,,,,,,,
pip fruit,bottled water,,,,,,,,,
citrus fruit,beverages,,,,,,,,,
root vegetables,butter milk,,,,,,,,,
root vegetables,salty snack,,,,,,,,,
ham,cream cheese ,,,,,,,,,
sliced cheese,pasta,,,,,,,,,
yogurt,tropical fruit,,,,,,,,,
bottled beer,cream cheese ,chocolate,,,,,,,,
cat food,candy,,,,,,,,,
flour,pastry,,,,,,,,,
soda,fruit/vegetable juice,,,,,,,,,
other vegetables,whole milk,artif. sweetener,,,,,,,,
rolls/buns,tropical fruit,salty snack,specialty bar,,,,,,,
coffee,pot plants,,,,,,,,,
curd,pastry,,,,,,,,,
liquor,vinegar,shopping bags,long life bakery product,,,,,,,
rolls/buns,pip fruit,whole milk,yogurt,,,,,,,
bottled water,rolls/buns,,,,,,,,,
canned beer,yogurt,soda,,,,,,,,
tropical fruit,soda,canned vegetables,,,,,,,,
citrus fruit,white bread,,,,,,,,,
margarine,bottled water,,,,,,,,,
butter,shopping bags,,,,,,,,,
other vegetables,other vegetables,other vegetables,hamburger meat,soda,soft cheese,waffles,,,,
soda,salt,,,,,,,,,
chewing gum,misc. beverages,,,,,,,,,
coffee,berries,pickled vegetables,,,,,,,,
sugar,processed cheese,,,,,,,,,
rolls/buns,soft cheese,,,,,,,,,
fruit/vegetable juice,whole milk,,,,,,,,,
meat,whole milk,,,,,,,,,
root vegetables,dessert,whisky,,,,,,,,
canned beer,pork,,,,,,,,,
chicken,bottled beer,,,,,,,,,
berries,frozen meals,dish cleaner,,,,,,,,
frankfurter,other vegetables,,,,,,,,,
cat food,newspapers,,,,,,,,,
specialty bar,specialty chocolate,,,,,,,,,
beef,rolls/buns,butter,,,,,,,,
pork,shopping bags,,,,,,,,,
other vegetables,bottled water,,,,,,,,,
napkins,root vegetables,sliced cheese,,,,,,,,
specialty bar,other vegetables,,,,,,,,,
bottled beer,other vegetables,,,,,,,,,
pork,frozen meals,canned beer,,,,,,,,
whole milk,white bread,cream cheese ,,,,,,,,
soda,chocolate marshmallow,hard cheese,,,,,,,,
berries,waffles,,,,,,,,,
frankfurter,processed cheese,,,,,,,,,
beef,whole milk,frozen vegetables,soda,,,,,,,
brown bread,brown bread,,,,,,,,,
liquor,curd,yogurt,tropical fruit,,,,,,,
other vegetables,bottled water,,,,,,,,,
bottled beer,whole milk,,,,,,,,,
soda,other vegetables,,,,,,,,,
yogurt,pasta,,,,,,,,,
sausage,frozen vegetables,,,,,,,,,
citrus fruit,Instant food products,,,,,,,,,
dishes,pastry,,,,,,,,,
root vegetables,waffles,whipped/sour cream,,,,,,,,
sausage,pork,,,,,,,,,
canned beer,baking powder,,,,,,,,,
pastry,spread cheese,other vegetables,,,,,,,,
beverages,whole milk,,,,,,,,,
ice cream,root vegetables,hygiene articles,,,,,,,,
male cosmetics,hard cheese,,,,,,,,,
sauces,rolls/buns,,,,,,,,,
whole milk,whole milk,sauces,,,,,,,,
other vegetables,specialty chocolate,,,,,,,,,
whole milk,hard cheese,,,,,,,,,
pip fruit,pasta,,,,,,,,,
dishes,rolls/buns,,,,,,,,,
other vegetables,whole milk,,,,,,,,,
dessert,pastry,,,,,,,,,
dessert,domestic eggs,,,,,,,,,
napkins,dessert,,,,,,,,,
rolls/buns,processed cheese,,,,,,,,,
soda,other vegetables,bottled beer,,,,,,,,
sausage,bottled water,,,,,,,,,
soda,frozen meals,bottled beer,,,,,,,,
other vegetables,whole milk,,,,,,,,,
beef,bottled beer,,,,,,,,,
bottled beer,oil,,,,,,,,,
bottled water,rolls/buns,domestic eggs,,,,,,,,
popcorn,dishes,whole milk,,,,,,,,
beef,yogurt,fruit/vegetable juice,,,,,,,,
whole milk,beef,,,,,,,,,
tropical fruit,other vegetables,sugar,,,,,,,,
onions,whipped/sour cream,,,,,,,,,
hamburger meat,other vegetables,,,,,,,,,
chocolate,whole milk,,,,,,,,,
whole milk,misc. beverages,pot plants,,,,,,,,
shopping bags,frozen meals,,,,,,,,,
pork,rolls/buns,,,,,,,,,
curd,softener,,,,,,,,,
whole milk,other vegetables,,,,,,,,,
domestic eggs,margarine,canned beer,candles,,,,,,,
frankfurter,chicken,white bread,whipped/sour cream,specialty fat,soft cheese,,,,,
tropical fruit,long life bakery product,,,,,,,,,
coffee,bottled water,,,,,,,,,
frozen meals,cake bar,,,,,,,,,
soda,whole milk,,,,,,,,,
chicken,margarine,,,,,,,,,
roll products ,specialty chocolate,,,,,,,,,
butter,yogurt,,,,,,,,,
soda,semi-finished bread,,,,,,,,,
pastry,bottled water,,,,,,,,,
bottled beer,rolls/buns,,,,,,,,,
meat,house keeping products,,,,,,,,,
frankfurter,other vegetables,,,,,,,,,
hamburger meat,whole milk,rolls/buns,yogurt,frozen vegetables,,,,,,
chocolate,shopping bags,,,,,,,,,
rolls/buns,potato products,,,,,,,,,
waffles,shopping bags,,,,,,,,,
nut snack,whole milk,,,,,,,,,
whipped/sour cream,cream cheese ,,,,,,,,,
hamburger meat,berries,liquor,cream cheese ,,,,,,,
female sanitary products,whole milk,hygiene articles,,,,,,,,
sausage,canned beer,,,,,,,,,
sausage,bottled water,,,,,,,,,
tropical fruit,whole milk,,,,,,,,,
soda,bottled beer,baking powder,,,,,,,,
red/blush wine,salty snack,,,,,,,,,
house keeping products,fruit/vegetable juice,,,,,,,,,
whole milk,frozen fish,,,,,,,,,
beef,whole milk,cream cheese ,butter,,,,,,,
pork,domestic eggs,,,,,,,,,
whole milk,bottled beer,,,,,,,,,
frozen meals,whole milk,,,,,,,,,
